name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
MORNINGSTAR FARMS Chik Patties Original;100;197;9.1;0;676;11.2;20.5;3.7;2;vitamin a
Beef macaroni with tomato sauce;100;113;2;10;178;5.89;17.99;1.4;3.8;vitamin a
MORNINGSTAR FARMS Asian Veggie Patties;100;158;6.2;0;741;11.4;18.2;5.1;5;vitamin b6
Whiskey sour mix;100;84;0.1;0;33;0.1;21.4;0;0;vitamin a
Chickpeas (garbanzo beans;100;378;6;0;24;20.47;62.95;12.2;10.7;vitamin a
MORNINGSTAR FARMS Spicy Black Bean Enchilada Entree;100;123;5.2;7;277;5.8;15.9;2.6;1.8;vitamin d
Swamp cabbage (skunk  cabbage);100;20;0.2;0;122;2.08;3.7;1.9;0;vitamin a
Apple juice;100;46;0.1;0;4;0.1;11.3;0.2;9.62;vitamin c
Grape juice;100;60;0.1;0;5;0.37;14.77;0.2;14.2;vitamin c
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product;100;148;1;16;1298;22.7;11.7;0.2;6.7;vitamin a
MORNINGSTAR FARMS Roasted Garlic & Quinoa Burger;100;192;12;1;522;10.7;17.8;10.1;2.1;vitamin b6
BANQUET;100;155;11;36;517;6.89;6.96;1;0.28;vitamin b12
MORNINGSTAR FARMS Meal Starters Veggie Meatballs;100;158;5.8;0;487;17.7;9.9;3.6;1.1;vitamin a
MORNINGSTAR FARMS Grillers Chik'n Veggie Patties;100;118;4.8;0;519;12.8;10.2;5.7;0.2;vitamin a
CAMPBELL'S Homestyle HEALTHY REQUEST Mexican Style Chicken Tortilla;100;53;1;4;167;2.86;7.76;1.2;1.22;vitamin a
P REGO Pasta;100;69;2.3;0;354;1.54;10;2.3;6.92;vitamin a
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product;100;222;11;42;1586;19.6;11.8;0;8.5;vitamin a
MORNINGSTAR FARMS Sausage Style Recipe Crumbles;100;159;4.6;0;758;20.2;9.9;4.6;1.4;vitamin a
Breakfast bars;100;464;18;0;251;9.8;66.7;3.1;27.52;vitamin a
KRAFT FOODS;100;377;3.7;0;0;6.1;79.8;0;0;vitamin a
MORNINGSTAR FARMS Chipotle Black Bean Crumbles;100;122;4.1;0;491;14.4;10.2;4.3;1.4;vitamin b12
Turkey roast;100;120;2.2;53;678;17.6;6.4;0;0;vitamin b6
Swamp cabbage (skunk cabbage);100;20;0.2;0;358;2.08;3.7;1.9;0;vitamin a
MORNINGSTAR FARMS Tomato & Basil Pizza Burger;100;161;8.6;10;414;15.5;14;9.1;2.6;vitamin b12
MORNINGSTAR FARMS Lasagna with Veggie Sausage;100;96;2.3;4;208;7.1;14.4;2.3;1.7;vitamin a
MORNINGSTAR FARMS Chik'n Grill Veggie Patties;100;118;4.8;0;519;12.8;10.2;5.7;0.2;vitamin a
Soy sauce;100;90;0.3;0;2890;8.19;14.44;0.3;5.63;vitamin b6
"DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza";100;244;11;20;456;10.33;25.72;2;3.3;vitamin a
MORNINGSTAR FARMS Italian Herb Chik'n Pattie;100;236;7;0;682;13.6;31.1;3.4;1.5;vitamin a
MORNINGSTAR FARMS Spicy Indian Veggie Burger;100;189;12;0;555;9.2;17;7.8;2.2;vitamin b6
Fat free ice cream;100;129;0;0;110;4.41;27.94;7.4;8.82;vitamin a
GARDENBURGER Savory Portabella Veggie Burger;100;138;3.3;4;633;5.9;22.1;7.1;1.2;vitamin b6
CONTINENTAL MILLS;100;418;10;0;0;5.6;75.6;1.7;40;vitamin a
Shortening confectionery;100;884;100;0;0;0;0;0;0;vitamin k
PILLSBURY Golden Layer Buttermilk Biscuits;100;307;13;0;0;5.88;41.18;1.2;5.88;vitamin a
Creamy dressing;100;160;14;0;833;1.5;7;0;5.65;vitamin a
CAMPBELL'S Homestyle Microwaveable Bowls;100;53;1;4;167;2.86;7.76;1.2;1.22;vitamin a
CAMPBELL'S CHUNKY Microwavable Bowls;100;78;3.7;10;363;3.27;7.35;1.2;0.82;vitamin a
KASHI Three Cheese Ravioli with Mediterranean Tomato Sauce;100;131;4.2;16;269;5.5;19.7;2.1;3.6;vitamin b6
MORNINGSTAR FARMS Breakfast Sausage Patties Maple Flavored;100;222;7.2;1;656;26.3;13.6;2;5.9;vitamin a
Split pea soup;100;71;0.9;2;166;3.85;11.83;1.9;5.06;vitamin a
MORNINGSTAR FARMS Breakfast Biscuit Sausage;100;257;8.1;22;568;9.3;37.5;1.5;4;vitamin a
Cranberry juice blend;100;45;0.1;0;6;0.27;10.91;0.1;9.8;vitamin c
MORNINGSTAR FARMS Grillers Burger Style Recipe Crumbles;100;135;4.3;0;434;18.5;8.3;5.6;1.1;vitamin b12
MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger;100;219;11;1;429;22.8;8.9;2.5;0.6;vitamin c
MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties;100;185;7.4;1;551;21.8;8.5;2.3;0.2;vitamin a
JIMMY DEAN;100;328;23;85;589;9.29;21.07;2;3.1;vitamin b12
Ice cream cone;100;354;22;21;94;5.21;34.38;1;25;vitamin a
MORNINGSTAR FARMS Pizza;100;235;6.9;12;261;10.6;36.9;5.2;3.3;vitamin b12
Shortening cake mix;100;884;100;0;0;0;0;0;0;vitamin k
"LITTLE CAESARS 14"" Original Round Meat and Vegetable Pizza";100;243;11;31;578;12.12;23.1;2.1;3.74;vitamin a
Pudding;100;109;1.1;49;63;0.65;24.2;0;13.51;vitamin a
Beef composite;100;203;9.2;82;53;28.73;0;0;0;vitamin d
CAMPBELL'S Homestyle HEALTHY REQUEST Chicken with Whole Grain Pasta Soup;100;40;0.8;4;167;3.8;4.28;0.7;0.32;vitamin a
MORNINGSTAR FARMS Breakfast Pattie with Organic Soy;100;220;8.3;0;690;23.7;12.6;7.6;2.2;vitamin d
Tortellini;100;307;7.2;42;406;13.5;47;1.9;0.95;vitamin a
Split pea with ham soup;100;68;0.7;3;196;4;11.4;1.9;1.57;vitamin a
MORNINGSTAR FARMS Breakfast Sandwich Veggie Scramble & Cheese English Muffin;100;149;4.8;10;562;10.4;18.9;2.9;0.6;vitamin b6
Toddler formula;100;501;27;7;210;13;56;0;53;vitamin a
Margarine-like vegetable-oil spread;100;535;59;1;785;0.6;0;0;0;vitamin a
MCKEE BAKING;100;548;33;0;223;8;55.2;0;34;vitamin c
Margarine-like shortening;100;628;71;0;864;0;0;0;0;vitamin k
Fruit salad;100;88;0.1;0;5;0.33;22.77;1;0;vitamin a
Rice bowl with chicken;100;126;1.6;16;333;5.65;22.46;0.7;4.07;vitamin a
Ruby Red grapefruit juice blend (grapefruit;100;44;0.1;0;8;0.5;10.53;0.2;10.3;vitamin a
MORNINGSTAR FARMS Breakfast Sandwich Veggie Sausage Egg & Cheese English Muffin;100;205;9.4;67;639;14.3;18.7;3.8;1.1;vitamin d
Pan Dulce;100;445;16;0;0;8.81;66.28;1.2;21.86;vitamin a
