name;quantity;cal;fat;cholesterol;sodium;protein;carb;fiber;sugars;vitamin
Coffeecake;100;339;15;85;339;7;44.3;1;0;vitamin a
Yardlong bean;100;47;0.4;0;4;2.8;8.35;0;0;vitamin a
Cress;100;32;0.7;0;14;2.6;5.5;1.1;4.4;vitamin a
Dates;100;282;0.4;0;2;2.45;75.03;8;63.35;vitamin a
Lambsquarters;100;43;0.8;0;43;4.2;7.3;4;0;vitamin a
Vital wheat gluten;100;370;1.9;0;29;75.16;13.79;0.6;0;vitamin a
Turnip greens;100;32;0.3;0;40;1.5;7.13;3.2;0.81;vitamin a
Sugars;100;387;0;0;1;0;99.98;0;99.8;vitamin a
Pomegranates;100;83;1.2;0;3;1.67;18.7;4;13.67;vitamin k
Liverwurst spread;100;305;25;118;700;12.38;5.89;2.5;1.65;vitamin a
Roast beef spread;100;223;16;70;724;15.27;3.73;0.2;0.71;vitamin b12
Chard;100;19;0.2;0;213;1.8;3.74;1.6;1.1;vitamin a
Goose;100;133;4.3;515;140;16.37;6.32;0;0;vitamin a
Sausage;100;255;18;0;888;20.28;8.09;2.8;0;vitamin e
Rice flour;100;363;2.8;0;8;7.23;76.48;4.6;0.66;vitamin b6
Peppermint;100;70;0.9;0;31;3.75;14.89;8;0;vitamin a
Luxury loaf;100;141;4.8;36;1225;18.4;4.9;0;0;vitamin d
Rye flour;100;349;1.5;0;2;10.88;75.43;11.8;1.1;vitamin k
Oheloberries;100;28;0.2;0;1;0.38;6.84;0;0;vitamin a
Barley malt flour;100;361;1.8;0;11;10.28;78.3;7.1;0.8;vitamin a
Plantains;100;116;0.2;0;5;0.79;31.15;2.3;14;vitamin a
Burdock root;100;72;0.2;0;5;1.53;17.34;3.3;2.9;vitamin c
Butterbur;100;3;0.1;0;4;0.11;0.38;0;0;vitamin c
SILK Nog;100;74;1.6;0;61;2.46;12.3;0;9.84;vitamin a
Muffins;100;270;7.4;0;393;7;48.3;4.6;8.22;vitamin k
Raisins;100;299;0.5;0;11;3.07;79.18;3.7;59.19;vitamin k
Strawberries;100;32;0.3;0;1;0.67;7.68;2;4.89;vitamin c
Wheat germ;100;360;9.7;0;12;23.15;51.8;13.2;0;vitamin b6
Wheat;100;342;1.7;0;2;11.31;75.9;12.2;0.41;vitamin a
Wheat bran;100;216;4.3;0;2;15.55;64.51;42.8;0.41;vitamin b6
Gooseberries;100;44;0.6;0;1;0.88;10.18;4.3;0;vitamin a
Kale;100;42;0.6;0;70;2.8;8.32;1.7;0;vitamin a
Marmalade;100;246;0;0;56;0.3;66.3;0.7;60;vitamin a
Fennel;100;31;0.2;0;52;1.24;7.3;3.1;3.93;vitamin a
Wild rice;100;101;0.3;0;3;3.99;21.34;1.8;0.73;vitamin a
Veal;100;197;13;49;103;18.58;0;0;0;vitamin d
Elderberries;100;73;0.5;0;6;0.66;18.4;7;0;vitamin a
Orange juice;100;45;0.2;0;1;0.7;10.4;0.2;8.4;vitamin a
POPEYES;100;161;11;7;218;0.98;14.12;1.7;10.83;vitamin a
Blackberries;100;43;0.5;0;1;1.39;9.61;5.3;4.88;vitamin a
Wasabi;100;109;0.6;0;17;4.8;23.54;7.8;0;vitamin c
Raspberries;100;52;0.7;0;1;1.2;11.94;6.5;4.42;vitamin a
Corn bran;100;224;0.9;0;7;8.36;85.64;79;0;vitamin a
Taro shoots;100;11;0.1;0;1;0.92;2.32;0;0;vitamin a
Couscous;100;112;0.2;0;5;3.79;23.22;1.4;0.1;vitamin e
Dill weed;100;43;1.1;0;61;3.46;7.02;2.1;0;vitamin a
Spearmint;100;285;6;0;344;19.93;52.04;29.8;0;vitamin a
Tamales (Navajo);100;153;6.1;17;427;6.28;18.12;3.1;0.99;vitamin c
Rice bran;100;316;21;0;5;13.35;49.69;21;0.9;vitamin b6
Lemon juice;100;22;0.2;0;1;0.35;6.9;0.3;2.52;vitamin c
Ginger root;100;80;0.8;0;13;1.82;17.77;2;1.7;vitamin c
Orange peel;100;97;0.2;0;3;1.5;25;10.6;0;vitamin a
Blueberries;100;57;0.3;0;1;0.74;14.49;2.4;9.96;vitamin a
Beet greens;100;22;0.1;0;226;2.2;4.33;3.7;0.5;vitamin a
Clementines;100;47;0.2;0;1;0.85;12.02;1.7;9.18;vitamin c
Peas;100;81;0.4;0;5;5.42;14.45;5.7;5.67;vitamin a
Oat bran;100;40;0.9;0;1;3.21;11.44;2.6;0;vitamin b6
Sugar;100;399;0;0;0;0;99.8;0;99.19;vitamin a
Headcheese;100;157;11;69;941;13.83;0;0;0;vitamin d
Ham salad spread;100;216;16;37;1075;8.68;10.64;0;0;vitamin d
Olive loaf;100;235;17;38;964;11.8;9.2;0;0;vitamin a
Pastrami;100;139;6.2;68;1123;16.3;3.34;0.1;3.34;vitamin a
Cranberries;100;46;0.1;0;2;0.46;11.97;3.6;4.27;vitamin a
Quinoa;100;368;6.1;0;5;14.12;64.16;7;0;vitamin a
Rose-apples;100;25;0.3;0;0;0.6;5.7;0;0;vitamin a
Watermelon;100;30;0.2;0;1;0.61;7.55;0.4;6.2;vitamin a
Potato pancakes;100;268;15;95;764;6.08;27.81;3.3;1.79;vitamin a
Spinach souffle;100;172;13;118;566;7.89;5.9;0.7;1.85;vitamin a
Bacon;100;309;30;0;1465;11.69;5.31;2.6;0;vitamin a
Rosemary;100;131;5.9;0;26;3.31;20.7;14.1;0;vitamin a
Lemon peel;100;47;0.3;0;6;1.5;16;10.6;4.17;vitamin c
Nectarines;100;44;0.3;0;0;1.06;10.55;1.7;7.89;vitamin a
Mulberries;100;43;0.4;0;10;1.44;9.8;1.7;8.1;vitamin c
Lotus root;100;74;0.1;0;40;2.6;17.23;4.9;0;vitamin c
Crabapples;100;76;0.3;0;1;0.4;19.95;0;0;vitamin a
Breadfruit;100;103;0.2;0;2;1.07;27.12;4.9;11;vitamin c
Arrowroot flour;100;357;0.1;0;2;0.3;88.15;3.4;0;vitamin b6
Pimento;100;23;0.3;0;14;1.1;5.1;1.9;2.71;vitamin a
Tomatillos;100;32;1;0;1;0.96;5.84;1.9;3.93;vitamin a
Bologna;100;209;16;75;1071;11.42;4.68;0.5;2.9;vitamin a
Vanilla extract;100;288;0.1;0;9;0.06;12.65;0;12.65;vitamin b6
Watercress;100;11;0.1;0;41;2.3;1.29;0.5;0.2;vitamin a
Lime juice;100;25;0.1;0;2;0.42;8.42;0.4;1.69;vitamin a
Spelt;100;338;2.4;0;8;14.57;70.19;10.7;6.82;vitamin a
Seeds;100;534;42;0;30;18.29;28.88;27.3;1.55;vitamin k
Arrowroot;100;65;0.2;0;26;4.24;13.39;1.3;0;vitamin a
Tamarinds;100;239;0.6;0;28;2.8;62.5;5.1;38.8;vitamin a
Millet;100;354;3.4;0;5;13;80;2.7;0.55;vitamin k
Scrapple;100;213;14;49;482;8.06;14.06;0.3;0.2;vitamin a
Longans;100;286;0.4;0;48;4.9;74;0;0;vitamin c
Pectin;100;11;0;0;0;0;2.1;2.1;0;vitamin a
Pretzels;100;338;3.1;0;545;8.2;69.39;1.7;0.25;vitamin k
Dulce de Leche;100;315;7.4;29;129;6.84;55.35;0;49.74;vitamin a
Radicchio;100;23;0.3;0;22;1.43;4.48;0.9;0.6;vitamin k
Bulgur;100;83;0.2;0;5;3.08;18.58;4.5;0.1;vitamin a
Tempeh;100;195;11;0;14;19.91;7.62;0;0;vitamin b6
Chicken spread;100;158;18;56;722;18.01;4.05;0.3;0.47;vitamin a
Capers;100;23;0.9;0;2348;2.36;4.89;3.2;0.41;vitamin a
Sapodilla;100;83;1.1;0;12;0.44;19.96;5.3;0;vitamin a
Arrowhead;100;99;0.3;0;22;5.33;20.23;0;0;vitamin c
Frog legs;100;73;0.3;50;58;16.4;0;0;0;vitamin a
Jackfruit;100;95;0.6;0;2;1.72;23.25;1.5;19.08;vitamin a
Litchis;100;277;1.2;0;3;3.8;70.7;4.6;66.1;vitamin c
Rutabagas;100;37;0.2;0;12;1.08;8.62;2.3;4.46;vitamin c
Cornsalad;100;21;0.4;0;4;2;3.6;0;0;vitamin a
Strudel;100;274;11;6;135;3.3;41.1;2.2;25.75;vitamin a
Cherimoya;100;75;0.7;0;7;1.57;17.71;3;12.87;vitamin c
Asparagus;100;20;0.1;0;2;2.2;3.88;2.1;1.88;vitamin a
Apricots;100;48;0.4;0;1;1.4;11.12;2;9.24;vitamin a
Candied fruit;100;322;0.1;0;98;0.34;82.74;1.6;80.68;vitamin a
Blood sausage;100;379;35;120;680;14.6;1.29;0;1.29;vitamin d
Shallots;100;72;0.1;0;12;2.5;16.8;3.2;7.87;vitamin c
Meat extender;100;311;3;0;10;41.71;34.71;17.5;0;vitamin b6
Sorghum grain;100;329;3.5;0;2;10.62;72.09;6.7;2.53;vitamin e
Pepeao;100;298;0.4;0;70;4.82;81.03;0;0;vitamin c
Purslane;100;20;0.4;0;45;2.03;3.39;0;0;vitamin a
Radishes;100;16;0.1;0;39;0.68;3.4;1.6;1.86;vitamin c
Parsnips;100;75;0.3;0;10;1.2;17.99;4.9;4.8;vitamin k
Collards;100;32;0.6;0;17;3.02;5.42;4;0.46;vitamin a
Rice crackers;100;416;5;0;233;10;82.64;0;0;vitamin k
